[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: type c82986329629546325e352c3e6b1524a.php 第 602 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2013-11-19T12:18:04+08:00 ] /zzadmin/admin.php/Course/showcourse | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001852s ]
